	faith_pd
TW-CO-002	433.09136934183823
TW-BT-001	508.6583198703407
TW-CA-002	310.14321835273523
TW-BD-002	313.02511755180365
TW-AV-001	727.804167977786
TW-BS-002	221.65521056058606
TW-BJ-001	590.7597040653283
TW-CC-002	713.950065040528
TW-BU-002	394.89047346057
TW-BO-002	318.63368320512524
TW-BK-001	456.4061834692483
TW-AW-001	466.2727864296953
TW-AX-002	483.2554181045759
TW-BG-001	129.85719571693988
TW-CH-002	106.22437295035064
TW-AW-002	470.0545356022593
TW-BZ-002	538.3524527231674
TW-BD-001	130.34911474906426
TW-AG-001	180.74790118658015
TW-CV-001	53.625617309703145
TW-CK-001	89.1482127949609
TW-CU-002	266.25464614456234
TW-AO-001	104.49740983963946
TW-AE-002	474.5136563116015
TW-BQ-001	335.7418954918581
TW-AF-001	403.5265330273239
TW-CF-001	577.3172872647754
TW-CT-001	131.60196911337846
TW-BM-002	544.7858789567715
TW-DA-002	238.35246832901916
TW-DP-002	164.8397027954317
TW-BG-002	370.17641487991096
TW-BO-001	458.5741091518271
TW-CE-001	368.66796583276994
TW-CN-002	384.3288867008765
TW-EE-002	90.39678747416686
TW-CW-002	583.6555895364475
TW-CY-002	365.8988797214654
TW-CE-002	500.18008204748185
TW-BN-002	356.99046248769173
TW-CO-001	176.93465262662497
TW-CZ-001	371.34040338027773
TW-AT-002	355.0528335301819
TW-AP-001	292.6857655145763
TW-DZ-002	142.0128203581878
TW-AI-001	518.6743547637685
TW-DX-001	266.76211874002854
TW-DJ-001	167.673111668109
TW-DQ-001	119.70619015807641
TW-AZ-001	317.18319550871087
TW-DU-002	111.42916236370787
TW-DK-001	128.26783850323196
TW-BZ-001	98.93181491744093
TW-AV-002	77.34454962106491
TW-CQ-001	605.5963248284834
TW-AN-001	471.2095411506681
TW-EH-002	567.3003684830045
TW-CG-001	620.3948960217389
TW-BE-002	96.85065774631786
TW-EE-001	738.3742012142434
TW-CN-001	90.91288890056705
TW-BN-001	524.1033721976019
TW-CF-002	400.53071135528126
TW-CQ-002	735.8081711160145
TW-BT-002	421.3704799053829
TW-DR-001	643.2307819577748
TW-DA-001	430.82762461826565
TW-DU-001	92.8367430530099
TW-AR-001	253.92975724093043
TW-CB-002	49.3721669162935
TW-BV-001	312.712873664429
TW-AK-001	565.567614296033
TW-AY-002	58.80279804836842
TW-AX-001	274.9045026249413
TW-AG-002	470.4825924529697
TW-AU-001	455.94931670202357
TW-DG-002	219.147237884006
TW-BE-001	76.38583472253248
TW-DS-001	105.34658517007443
TW-BJ-002	490.2165047936429
TW-AI-002	250.5093609086953
TW-AU-002	328.9393485188964
TW-AN-002	328.3181826517931
TW-BL-001	282.8302319465686
TW-CP-002	197.93113373169808
TW-BA-002	320.35416770532447
TW-AP-002	167.85313239004108
TW-BS-001	411.720078697893
TW-AA-002	397.31500267541185
TW-AY-001	540.5237311958133
TW-BL-002	99.22191212211914
TW-DY-002	212.83216345219427
TW-DM-002	78.61209899208627
TW-AF-002	187.03709705924317
TW-DB-001	416.9025946661885
TW-AQ-001	262.3350729201468
TW-CS-002	491.9981701644263
TW-BI-002	214.33613509383326
TW-CA-001	556.830511059103
TW-BQ-002	502.47029384824475
TW-BA-001	221.6912867071436
TW-AM-002	493.58932199631056
TW-AT-001	764.9438442663311
TW-AM-001	241.31305635695767
TW-DG-001	263.47554805659865
TW-CB-001	471.084429409254
TW-CC-001	291.79334129937087
TW-BU-001	822.1625458432584
TW-CW-001	412.70433143465783
TW-DQ-002	220.36376032817498
TW-DZ-001	199.33304677019558
TW-DB-002	220.89406288319645
TW-AZ-002	179.63686194418838
TW-AK-002	434.54634290027695
TW-CI-001	736.443553070205
CIR57-001	194.65356466708414
CIR42-002	310.9337633575557
CIR55-003	563.2309964848059
CIR61-001	54.166849595274556
CIR32-002	75.16175280247893
CIR51-001	361.8048088108835
CIR5-006	240.48911044335222
CIR55-004	382.71377022264465
CIR21-002	255.99198773005622
CIR53-001	300.7348781504676
CIR51-004	200.2189015436037
CIR32-001	221.91124538904546
CIR60-003	190.59961186963025
CIR6-001	470.7415864509144
CIR54-002	423.90185299378913
CIR52-003	153.99235450314075
CIR54-001	264.39225502568183
CIR16-001	772.2218984201843
CIR58-002	294.20607955516357
CIR16-002	53.342886145824956
CIR23-001	536.1347433624134
CIR58-001	347.25791107358134
CIR7-002	131.93941814609997
CIR21-001	536.9516016340676
CIR41-002	174.26301630816323
CIR26-001	508.65728193074506
CIR22-002	482.3505773286074
CIR52-001	233.53314848777157
CIR53-002	157.4847613009016
CIR60-001	491.20018183477316
CIR60-002	158.25519673582673
CIR51-003	685.942882551717
CIR19-002	163.12948962353565
CIR18-001	650.6967501379975
CIR4-002	343.7948430490306
CIR57-002	262.008325050654
CIR42-001	96.31144673642645
CIR61-002	477.4332382628669
CIR20-001	378.1374054009806
CIR20-002	26.57282346958071
CIR51-005	624.4744589442165
CIR4-003	446.92171906907777
CIR18-002	624.6209643895802
CIR41-001	271.09910062844983
CIR63-002	347.05782823728174
CIR19-001	67.48881500590034
CIR5-001	125.70679618010927
CIR55-002	560.7657927862781
CIR26-002	375.4867111452886
CIR5-002	153.81298844690593
CIR55-001	428.0823799011557
CIR7-001	470.942477189838
