#SampleID,shannon,groups
TW-CO-002,6.267937620546332,G1R
TW-BT-001,6.226870646961102,G2P
TW-CA-002,5.6151125931522845,G1R
TW-BD-002,5.828675888602019,G2P
TW-AV-001,7.112775193859456,G2P
TW-BS-002,5.193358047609273,G1P
TW-BJ-001,6.629646380682483,G1R
TW-CC-002,6.960962235454098,G1R
TW-BU-002,6.322040404404793,G1P
TW-BO-002,5.879870475663201,G2R
TW-BK-001,6.368160610166694,G1P
TW-AW-001,6.535509782482703,G1P
TW-AX-002,6.209899105226227,G1R
TW-BG-001,4.600103001388262,G1P
TW-CH-002,4.055763071586839,G1R
TW-AW-002,6.147307245299847,G1R
TW-BZ-002,6.403085613174839,G1P
TW-BD-001,4.724805568185199,G2R
TW-AG-001,5.0478846250101235,G1R
TW-CV-001,3.076434377051685,G1P
TW-CK-001,2.9542129796210226,G2P
TW-CU-002,5.285037666815589,G2P
TW-AO-001,4.4557544289509,G1P
TW-AE-002,6.502555722484133,G2P
TW-BQ-001,5.898590344872905,G1P
TW-AF-001,5.291411448899443,G1P
TW-CF-001,6.206243307543668,G2P
TW-CT-001,3.796084853076672,G1P
TW-BM-002,6.6087170515818565,G1P
TW-DA-002,5.15787281393356,G2P
TW-DP-002,4.967331035778439,G1P
TW-BG-002,6.185454131201211,G1R
TW-BO-001,6.393392383318671,G2P
TW-CE-001,6.043999082604557,G2P
TW-CN-002,5.630572446674856,G2P
TW-EE-002,3.638316996322773,G1R
TW-CW-002,6.453521731670928,G1R
TW-CY-002,5.37088404179642,G2R
TW-CE-002,6.597213562129968,G2R
TW-BN-002,5.615764820344372,G1R
TW-CO-001,4.675990345048977,G1P
TW-CZ-001,6.025148221002133,G1P
TW-AT-002,6.193455516712397,G1R
TW-AP-001,5.06638376332717,G1R
TW-DZ-002,4.395894817115298,G1R
TW-AI-001,6.653194260302942,G1P
TW-DX-001,5.616394486204793,G1P
TW-DJ-001,4.462256680638012,G1P
TW-DQ-001,3.1888467461348857,G1P
TW-AZ-001,5.591548962710987,G1R
TW-DU-002,4.1780331169655005,G1P
TW-DK-001,3.8660477338733337,G1R
TW-BZ-001,4.1721747907227495,G1R
TW-AV-002,3.2477376636569635,G2R
TW-CQ-001,6.332274034952216,G2P
TW-AN-001,6.281346814185031,G1P
TW-EH-002,6.729284229964264,G1P
TW-CG-001,6.032026043812095,G1P
TW-BE-002,3.0425929675191448,G1P
TW-EE-001,6.965950480171688,G1P
TW-CN-001,3.7931261649556864,G2R
TW-BN-001,6.785223890522501,G1P
TW-CF-002,5.2662788926398,G2R
TW-CQ-002,7.187967597924764,G2R
TW-BT-002,6.382011123054546,G2R
TW-DR-001,6.76425126596678,G1P
TW-DA-001,6.356515606772032,G2R
TW-DU-001,3.1290158947878832,G1R
TW-AR-001,5.562806018357231,G1P
TW-CB-002,2.1316133246169957,G1P
TW-BV-001,6.011517994987698,G1P
TW-AK-001,6.317705393696163,G2P
TW-AY-002,3.1416762878097897,G1R
TW-AX-001,5.532905969771155,G1P
TW-AG-002,6.616791372123572,G1P
TW-AU-001,6.415511173260639,G1P
TW-DG-002,5.433602731454734,G1R
TW-BE-001,3.1240241573859464,G1R
TW-DS-001,3.632381273895568,G1R
TW-BJ-002,6.463866804643876,G1P
TW-AI-002,5.648791079997585,G1R
TW-AU-002,5.936016412036923,G1R
TW-AN-002,5.949130036575884,G1R
TW-BL-001,5.8615945535929175,G2R
TW-CP-002,5.0825946896549175,G1R
TW-BA-002,6.0164056593067725,G2P
TW-AP-002,4.872897000906113,G1P
TW-BS-001,5.840772666055496,G1R
TW-AA-002,6.233997002914389,G2R
TW-AY-001,6.770695873514716,G1P
TW-BL-002,4.015600127332377,G2P
TW-DY-002,5.3318852491017035,G1P
TW-DM-002,3.2306319212091332,G1P
TW-AF-002,4.646920447448478,G1R
TW-DB-001,6.296355799326793,G1P
TW-AQ-001,5.485121203398813,G2P
TW-CS-002,6.326247244822519,G1P
TW-BI-002,5.276290281311244,G1R
TW-CA-001,6.474722625078804,G1P
TW-BQ-002,6.5727082318302665,G1R
TW-BA-001,5.174710844073184,G2R
TW-AM-002,5.9749600957841755,G1R
TW-AT-001,6.952570091470657,G1P
TW-AM-001,5.6303106720482985,G1P
TW-DG-001,5.493233011918964,G1P
TW-CB-001,6.28035599532296,G1R
TW-CC-001,5.676495716476164,G1P
TW-BU-001,7.131142857138026,G1R
TW-CW-001,6.333996796604918,G1P
TW-DQ-002,4.561240885695716,G1R
TW-DZ-001,4.402086995571064,G1P
TW-DB-002,5.589350605294562,G1R
TW-AZ-002,4.9641912884357735,G1P
TW-AK-002,6.383308729246982,G2R
TW-CI-001,6.849075383928946,G1R
CIR57-001,5.017148848025453,G3P
CIR42-002,5.956027313504203,G3R
CIR55-003,5.253797392287608,G3R
CIR61-001,2.9352469660528144,G3P
CIR32-002,3.1742107813948435,G3R
CIR51-001,6.086489920783394,G3P
CIR5-006,5.328564786775045,G3R
CIR55-004,6.110876455853281,G3R
CIR21-002,5.4124551116523,G3R
CIR53-001,5.582738486091246,G3P
CIR51-004,5.242391884559552,G3R
CIR32-001,4.9017934521354745,G3P
CIR60-003,5.1276412507487255,G3R
CIR6-001,5.862159649522675,G3P
CIR54-002,6.306651450103178,G3R
CIR52-003,4.805077223790453,G3R
CIR54-001,5.412287722884387,G3P
CIR16-001,6.704364930521238,G3P
CIR58-002,5.580182632123638,G3R
CIR16-002,2.8454042181816046,G3R
CIR23-001,6.442203402713125,G3P
CIR58-001,5.804715437458242,G3P
CIR7-002,4.433041171032311,G3R
CIR21-001,6.586868301697479,G3P
CIR41-002,4.357799987698634,G3R
CIR26-001,6.715669488284188,G3P
CIR22-002,6.384942354912586,G3R
CIR52-001,4.415264464792406,G3P
CIR53-002,4.801969275383477,G3R
CIR60-001,5.671245362048111,G3P
CIR60-002,1.1896371543459971,G3R
CIR51-003,6.987425549494913,G3R
CIR19-002,4.6967433467146,G3R
CIR18-001,6.569728347945382,G3P
CIR4-002,5.986271035291258,G3R
CIR57-002,5.563824724003125,G3R
CIR42-001,4.000338158362704,G3P
CIR61-002,6.4053741190531275,G3R
CIR20-001,3.8252354447572285,G3P
CIR20-002,1.511266191498455,G3R
CIR51-005,6.8736196910426175,G3R
CIR4-003,5.940624888470877,G3R
CIR18-002,6.764030735015853,G3R
CIR41-001,5.771549519972543,G3P
CIR63-002,5.6792150108278845,G3R
CIR19-001,2.996336329867782,G3P
CIR5-001,4.001566526045699,G3P
CIR55-002,6.324099366038673,G3R
CIR26-002,6.060164842369488,G3R
CIR5-002,4.852426148005809,G3R
CIR55-001,6.3910503959133855,G3P
CIR7-001,6.1000451691119775,G3P
