	observed_otus
TW-CO-002	1477
TW-BT-001	1463
TW-CA-002	1481
TW-BD-002	1476
TW-AV-001	1491
TW-BS-002	1463
TW-BJ-001	1466
TW-CC-002	1468
TW-BU-002	1475
TW-BO-002	1464
TW-BK-001	1479
TW-AW-001	1432
TW-AX-002	1464
TW-BG-001	1458
TW-CH-002	1462
TW-AW-002	1473
TW-BZ-002	1473
TW-BD-001	1468
TW-AG-001	1127
TW-CV-001	1462
TW-CK-001	1461
TW-CU-002	1485
TW-AO-001	1479
TW-AE-002	1470
TW-BQ-001	1486
TW-AF-001	1467
TW-CF-001	1476
TW-CT-001	1469
TW-BM-002	1462
TW-DA-002	1456
TW-DP-002	1435
TW-BG-002	1446
TW-BO-001	1481
TW-CE-001	1483
TW-CN-002	1471
TW-EE-002	1421
TW-CW-002	1449
TW-CY-002	1475
TW-CE-002	1473
TW-BN-002	1453
TW-CO-001	1492
TW-CZ-001	1453
TW-AT-002	1457
TW-AP-001	1487
TW-DZ-002	1440
TW-AI-001	1451
TW-DX-001	1435
TW-DJ-001	1452
TW-DQ-001	1450
TW-AZ-001	1469
TW-DU-002	1465
TW-DK-001	1459
TW-BZ-001	1477
TW-AV-002	1469
TW-CQ-001	1478
TW-AN-001	1483
TW-EH-002	1435
TW-CG-001	1347
TW-BE-002	1468
TW-EE-001	1444
TW-CN-001	1491
TW-BN-001	1368
TW-CF-002	1489
TW-CQ-002	1456
TW-BT-002	1387
TW-DR-001	1452
TW-DA-001	1453
TW-DU-001	1458
TW-AR-001	1410
TW-CB-002	1463
TW-BV-001	1464
TW-AK-001	1454
TW-AY-002	1462
TW-AX-001	1456
TW-AG-002	1419
TW-AU-001	1452
TW-DG-002	1469
TW-BE-001	1471
TW-DS-001	1442
TW-BJ-002	1449
TW-AI-002	1448
TW-AU-002	1307
TW-AN-002	1349
TW-BL-001	1482
TW-CP-002	1484
TW-BA-002	1465
TW-AP-002	1478
TW-BS-001	1454
TW-AA-002	1433
TW-AY-001	1471
TW-BL-002	1471
TW-DY-002	1447
TW-DM-002	1463
TW-AF-002	1476
TW-DB-001	1432
TW-AQ-001	1390
TW-CS-002	1459
TW-BI-002	1427
TW-CA-001	1463
TW-BQ-002	1467
TW-BA-001	1458
TW-AM-002	1478
TW-AT-001	1440
TW-AM-001	1450
TW-DG-001	1465
TW-CB-001	1463
TW-CC-001	1489
TW-BU-001	1338
TW-CW-001	1460
TW-DQ-002	1429
TW-DZ-001	1451
TW-DB-002	1483
TW-AZ-002	1464
TW-AK-002	1414
TW-CI-001	1400
CIR57-001	1424
CIR42-002	1430
CIR55-003	1446
CIR61-001	1444
CIR32-002	1441
CIR51-001	1446
CIR5-006	1452
CIR55-004	1438
CIR21-002	1433
CIR53-001	1429
CIR51-004	1440
CIR32-001	1450
CIR60-003	1445
CIR6-001	1425
CIR54-002	1445
CIR52-003	1445
CIR54-001	1447
CIR16-001	1429
CIR58-002	1443
CIR16-002	1447
CIR23-001	1434
CIR58-001	1422
CIR7-002	1429
CIR21-001	1440
CIR41-002	1441
CIR26-001	1427
CIR22-002	1448
CIR52-001	1449
CIR53-002	1429
CIR60-001	1457
CIR60-002	1454
CIR51-003	1419
CIR19-002	1451
CIR18-001	1442
CIR4-002	1449
CIR57-002	1437
CIR42-001	1443
CIR61-002	1421
CIR20-001	1452
CIR20-002	1459
CIR51-005	910
CIR4-003	1429
CIR18-002	1436
CIR41-001	1426
CIR63-002	1431
CIR19-001	1455
CIR5-001	1442
CIR55-002	1419
CIR26-002	1439
CIR5-002	1451
CIR55-001	1429
CIR7-001	1442
